2015-08-19 14:48:54,732 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[/home/mkopp/Documents/Ruxit/github/jmx-plugins/ActiveMQ/apache-activemq-5.12.0/data/kahadb] | org.apache.activemq.broker.BrokerService | main
2015-08-19 14:48:54,926 | INFO  | KahaDB is version 6 | org.apache.activemq.store.kahadb.MessageDatabase | main
2015-08-19 14:48:54,943 | INFO  | Recovering from the journal @1:509 | org.apache.activemq.store.kahadb.MessageDatabase | main
2015-08-19 14:48:54,948 | INFO  | Recovery replayed 33 operations from the journal in 0.016 seconds. | org.apache.activemq.store.kahadb.MessageDatabase | main
2015-08-19 14:48:55,095 | INFO  | Apache ActiveMQ 5.12.0 (localhost, ID:lnz123701n02-55200-1439992134978-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2015-08-19 14:48:55,112 | INFO  | Listening for connections at: tcp://lnz123701n02:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2015-08-19 14:48:55,114 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | main
2015-08-19 14:48:55,120 | INFO  | Listening for connections at: amqp://lnz123701n02:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2015-08-19 14:48:55,123 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | main
2015-08-19 14:48:55,127 | INFO  | Listening for connections at: stomp://lnz123701n02:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2015-08-19 14:48:55,130 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | main
2015-08-19 14:48:55,136 | INFO  | Listening for connections at: mqtt://lnz123701n02:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2015-08-19 14:48:55,139 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | main
2015-08-19 14:48:55,481 | INFO  | Listening for connections at ws://lnz123701n02:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | main
2015-08-19 14:48:55,482 | INFO  | Connector ws started | org.apache.activemq.broker.TransportConnector | main
2015-08-19 14:48:55,485 | INFO  | Apache ActiveMQ 5.12.0 (localhost, ID:lnz123701n02-55200-1439992134978-0:1) started | org.apache.activemq.broker.BrokerService | main
2015-08-19 14:48:55,486 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | main
2015-08-19 14:48:55,862 | INFO  | ActiveMQ WebConsole available at http://0.0.0.0:8161/ | org.apache.activemq.web.WebConsoleStarter | main
2015-08-19 14:48:55,863 | INFO  | ActiveMQ Jolokia REST API available at http://0.0.0.0:8161/api/jolokia/ | org.apache.activemq.web.WebConsoleStarter | main
2015-08-19 14:48:55,912 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | main
2015-08-19 14:48:56,112 | INFO  | jolokia-agent: No access restrictor found at classpath:/jolokia-access.xml, access to all MBeans is allowed | /api | main
2015-08-19 14:49:39,131 | INFO  | Apache ActiveMQ 5.12.0 (localhost, ID:lnz123701n02-55200-1439992134978-0:1) is shutting down | org.apache.activemq.broker.BrokerService | ActiveMQ ShutdownHook
2015-08-19 14:49:39,133 | INFO  | Connector openwire stopped | org.apache.activemq.broker.TransportConnector | ActiveMQ ShutdownHook
2015-08-19 14:49:39,135 | INFO  | Connector amqp stopped | org.apache.activemq.broker.TransportConnector | ActiveMQ ShutdownHook
2015-08-19 14:49:39,136 | INFO  | Connector stomp stopped | org.apache.activemq.broker.TransportConnector | ActiveMQ ShutdownHook
2015-08-19 14:49:39,137 | INFO  | Connector mqtt stopped | org.apache.activemq.broker.TransportConnector | ActiveMQ ShutdownHook
2015-08-19 14:49:39,201 | INFO  | Connector ws stopped | org.apache.activemq.broker.TransportConnector | ActiveMQ ShutdownHook
2015-08-19 14:49:39,204 | INFO  | PListStore:[/home/mkopp/Documents/Ruxit/github/jmx-plugins/ActiveMQ/apache-activemq-5.12.0/data/localhost/tmp_storage] stopped | org.apache.activemq.store.kahadb.plist.PListStoreImpl | ActiveMQ ShutdownHook
2015-08-19 14:49:39,205 | INFO  | Stopping async queue tasks | org.apache.activemq.store.kahadb.KahaDBStore | ActiveMQ ShutdownHook
2015-08-19 14:49:39,205 | INFO  | Stopping async topic tasks | org.apache.activemq.store.kahadb.KahaDBStore | ActiveMQ ShutdownHook
2015-08-19 14:49:39,206 | INFO  | Stopped KahaDB | org.apache.activemq.store.kahadb.KahaDBStore | ActiveMQ ShutdownHook
2015-08-19 14:49:39,555 | INFO  | Apache ActiveMQ 5.12.0 (localhost, ID:lnz123701n02-55200-1439992134978-0:1) uptime 44.842 seconds | org.apache.activemq.broker.BrokerService | ActiveMQ ShutdownHook
2015-08-19 14:49:39,556 | INFO  | Apache ActiveMQ 5.12.0 (localhost, ID:lnz123701n02-55200-1439992134978-0:1) is shutdown | org.apache.activemq.broker.BrokerService | ActiveMQ ShutdownHook
2015-08-19 14:49:39,556 | INFO  | Closing org.apache.activemq.xbean.XBeanBrokerFactory$1@643b1d11: startup date [Wed Aug 19 14:48:53 GMT+01:00 2015]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | ActiveMQ ShutdownHook
2015-08-19 14:49:39,572 | INFO  | Destroying Spring FrameworkServlet 'dispatcher' | /admin | ActiveMQ ShutdownHook
2015-08-19 14:49:57,598 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@643b1d11: startup date [Wed Aug 19 14:49:57 GMT+01:00 2015]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2015-08-19 14:49:58,384 | INFO  | PListStore:[/home/mkopp/Documents/Ruxit/github/jmx-plugins/ActiveMQ/apache-activemq-5.12.0/data/localhost/tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
